LINC01241	9	25780060	25812966
LINC01242	9	30388933	30408452
LINC01243	9	31371609	31381488
LOC100996291	17	76257430	76274573
GDA	9	74729511	74867140
LOC100996290	6	153471309	153474005
TFP1	3	133410566	133428518
SCN3A	2	165944030	166060577
KCTD10P1	9	28598662	28599278
SCN3B	11	123499895	123525315
DGKZP1	13	44542459	44545846
IGHVII-20-1	14	106669465	106669965
GFER	16	2034150	2037750
LOC100996294	17	20435381	20436167
RNF219-AS1	13	78628990	79191460
PIP5KL1	9	130683808	130693076
BTBD1	15	83685175	83736106
BTBD2	19	1985437	2015702
BTBD3	20	11871377	11907243
LINC01239	9	22646199	22824212
LINC01235	9	13406379	13431328
LINC01234	12	114182380	114211489
LINC01237	2	242823517	242908523
LINC01254	18	10405130	10414367
LINC01255	18	11490054	11506977
TMEFF2	2	192770615	193059645
ACAA2	18	47309874	47340306
TMEFF1	9	103235520	103339918
LINC01252	12	11700964	11717337
LINC01250	2	2898820	3129798
TFPT	19	54610320	54619055
SCN2B	11	118033519	118047337
LINC01251	9	33732973	33738414
BARHL1	9	135457993	135465640
CYSRT1	9	140119086	140120765
SCN2A	2	165986659	166248820
BARHL2	1	91177579	91182794
GMFBP1	3	100383894	100384320
BTBD7	14	93703896	93799385
CLIC4P3	X	40936252	40937007
BTBD6	14	105714879	105717430
GEM	8	95261481	95274547
CLIC4P2	19	6562565	6563900
BTBD9	6	38136227	38608202
OR1S2	11	57970676	57971653
CLIC4P1	9	22747691	22748230
OR1S1	11	57982217	57983194
BTBD8	1	92545862	92613397
RBMY1A3P	Y	9154670	9160483
TFPI	2	188328957	188419219
LINC01249	2	4675808	4703812
TMPRSS11BNL	4	69054242	69083798
LINC01247	2	6506142	6515554
ACAA1	3	38164201	38178733
NCR3LG1	11	17373279	17398868
SCN1A	2	166845670	167005642
RALGPS2	1	178694300	178890975
RALGPS1	9	129677053	129985445
SCN1B	19	35521555	35531353
LINC01220	14	75761107	75763113
OR1P1	17	3057184	3058176
HAGLR	2	177037923	177053686
T	6	166571144	166582157
ATN1	12	7033626	7051484
LINC01213	3	149956306	149957990
LINC01212	3	70048895	70064452
GFY	19	49929688	49932075
LINC01215	3	107844668	107855254
LOC442727	7	138088705	138089396
LINC01214	3	149983194	150014389
LINC01216	4	101581436	101596270
LINC01233	19	22715428	22719843
LINC01231	9	3181589	3200500
LOC100418906	2	143704933	143705743
GGH	8	63927638	63951610
ACACA	17	35441927	35766902
PPAPDC1B	8	38119035	38126841
OR1Q1	9	125377017	125377961
PPAPDC1A	10	122216466	122349367
OSMR-AS1	5	38692959	38845920
ACACB	12	109554222	109706031
SULT6B1	2	37394963	37423230
GGN	19	38874992	38879096
GH2	17	61957572	61960039
GH1	17	61994560	61996206
UBTFL3	2	96290998	96292152
UBTFL2	11	89486180	89487148
UBTFL1	11	89819118	89820299
PARP9	3	122246757	122283523
LOC442713	7	98083225	98083960
OR2R1P	7	143185555	143186502
PARP8	5	49961733	50142356
LINC01226	1	31984036	31989846
PARP6	15	72533522	72564885
LINC01225	1	31971836	31974167
CT45A2	X	134856887	134874268
PARP3	3	51976297	51982883
CT45A1	X	134847185	134856988
PARP4	13	24995069	25086948
UBTFL8	3	5121263	5126193
CT45A4	X	134928587	134936735
PARP1	1	226548392	226595801
ACAD11	3	132276982	132378975
UBTFL7	11	49103468	49104649
CT45A3	X	134874147	134891521
PARP2	14	20811773	20826063
ACAD10	12	112123857	112194911
UBTFL6	2	98253048	98254228
CT45A6	X	134963213	134971244
SPATA6L	9	4553386	4666674
LINC01227	16	80600691	80603584
UBTFL5	2	96116053	96117234
CT45A5	X	134945651	134963316
BCKDK	16	31119615	31124112
GFAP	17	42982994	42992920
MRPS24P1	11	303710	304376
LOC100133300	9	43425619	43427188
CYP2G1P	19	41396731	41406413
FAAHP1	1	46899499	46911374
LOC100133302	9	41054830	41056158
SMPD4P1	22	20959274	20981606
ANP32A	15	69070874	69113261
LOC100509370	12	68536359	68537475
SMPD4P2	13	19725607	19745541
GHR	5	42423577	42721980
LOC100133316	9	77550092	77550606
PARVG	22	44566271	44604349
LOC100499223	1	179189615	179191367
GIP	17	47035918	47045955
AIFM3	22	21319418	21335649
ANP32B	9	100745479	100780860
AIFM2	10	71872023	71892832
ANP32C	4	165118159	165118863
AIFM1	X	129263337	129299861
LOC729409	12	69678177	69679267
ANP32D	12	48866448	48866843
ANP32E	1	150190717	150208504
SLC3A2	11	62623484	62656355
LINC01210	3	137490180	137499720
GIF	11	59596746	59612974
SLC3A1	2	44502597	44547963
DUXAP10	14	19691736	19694003
LOC100133315	11	71576555	71639493
LINC01207	4	165675283	165724947
LINC01208	3	176321936	176353320
OR9S24P	2	241018850	241019777
LINC01205	3	109128837	109214014
LINC01206	3	181670152	181728466
LINC01203	X	13353360	13359944
SUPT16HP1	12	16552209	16555438
LINC01204	X	45364633	45386484
SLC25A39P1	1	202765166	202766222
LINC01209	3	176531943	176534789
PARVB	22	44395091	44565113
PARVA	11	12397988	12556903
SCML4	6	108023361	108145521
PTOV1	19	50353667	50363999
SPATA45	1	213003483	213020991
MDS2	1	23953824	23967056
GK2	4	80327507	80329372
ATP5J2-PTCD1	7	99014362	99063824
SCML2	X	18257433	18372844
SCML1	X	17755591	17773105
LOC100133326	3	195664044	195665747
OFCC1	6	9697863	10211841
PART1	5	59783540	59843484
PARS2	1	55222571	55230226
GK5	3	141876369	141944449
SPATA41	15	100884662	100890923
SPATA42	1	109399839	109401146
SPATA33	16	89724152	89736866
SPATA32	17	43331760	43339479
ATRN	20	3451665	3631769
LOC100133331	1	661139	665731
ATRX	X	76760356	77041755
GLA	X	100652779	100663001
SAMD12-AS1	8	119633240	119738306
SPATA2L	16	89762765	89768131
MIR124-2HG	8	65285775	65291388
QRFPR	4	122249797	122302181
SPATA20	17	48624450	48633213
LOC100418973	2	63944258	63945021
OR1J2	9	125231369	125276376
OR1J1	9	125239237	125240205
SNAR-G1	19	49540277	49540404
OR1J4	9	125281420	125282361
SNAR-G2	19	49534926	49535044
CTNNBL1	20	36322357	36500531
IL6RP1	9	92843463	92845018
NUDCD3	7	44421965	44530474
NUDCD2	5	162880586	162887143
IGHVIII-67-4	14	107151109	107151414
ATG5	6	106632351	106773695
GALR1	18	74962008	74982098
NUDCD1	8	110253148	110346486
ATG7	3	11314010	11599139
GALR3	22	38219389	38221502
GALR2	17	74070892	74073573
SPATA25	20	44515125	44517245
LOC729458	19	7019172	7021494
IGHVIII-67-2	14	107143119	107143217
IGHVIII-67-3	14	107148631	107148905
SPATA21	1	16722101	16763919
SPATA22	17	3343305	3417146
